product_id,review_id,user_id,review_title,review_content
B07JW9H4J1,R3HXWT0LRP0NMF,AG3D6O4STAQKAY2UVGEUV46KN35Q,Satisfied,Looks durable Charging is fine tooNo complains
B07JW9H4J1,R2AJM3LFTLZHFO,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Charging is really fast,Charging is really fast
B07JW9H4J1,R6AQJGUP6P86,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Value for money, good product.
B07JW9H4J1,R1KD19VHEDV0OR,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,Product review,Till now satisfied with the quality.
B07JW9H4J1,R3C02RMYQMK6FC,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,Good quality,This is a good product . The charging speed is slower than the original iPhone cable
B07JW9H4J1,R39GQRVBUZBWGY,AENGU523SXMOS7JPDTW52PNNVWGQ,Good product,Good quality
B07JW9H4J1,R2K9EDOE15QIRJ,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Good Product, would recommend
B07JW9H4J1,R3OI7YT648TL8I,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,As of now seems good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B098NS6PVG,RGIQEG07R9HS2,AECPFYFQVRUWC3KGNLJIOREFP5LQ,A Good Braided Cable for Your Type C Device,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.
B098NS6PVG,R1SMWZQ86XIN8U,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging
B098NS6PVG,R2J3Y1WL29GWDE,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,Super cable,Value for money
B098NS6PVG,RYGGS0M09S3KY,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,As, with extra length??
B098NS6PVG,R17KQRUTAN5DKS,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,Good quality,Good
B098NS6PVG,R3AAQGS6HP2QUK,AEPSWFPNECKO34PUC7I56ITGXR6Q,Good product, working fine
B098NS6PVG,R1HDNOG6TO2CCA,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,its good,Product quality is good
B098NS6PVG,R3PHKXYA5AFEOU,AH4QT33M55677I7ISQOAKEQWACYQ,Good quality for the price but one issue with my unit,Good
B096MSW6CT,R3J3EQQ9TZI5ZJ,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Good speed for earlier versions,Not quite durable and sturdy
B096MSW6CT,R3E7WBGK7ID0KV,AESFLDV2PT363T2AQLWQOWZ4N3OA,Good Product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71rIggrbUCL._SY88.jpg
B096MSW6CT,RWU79XKQ6I1QF,AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,Working good,Working good
B096MSW6CT,R25X4TBMPY91LX,AEUVWXYP5LT7PZLLZENEO2NODPBQ,Good for the price,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61bKp9YO6wL._SY88.jpg
